experiment_file, dataset, use_rear_lidar, particle_count, noise_sigma, local_search_resolution, local_search_offset, runtime, rmse
experiments\experiment00_baseline_settings, bicocca, False, 1, 0, 0, 0, 64.81533193588257, 1.562810372154707
experiments\experiment01_settings, bicocca, False, 10, 0.0001, 0, 0.05, 64.91102719306946, 1.452889957589199
experiments\experiment02_settings, bicocca, False, 10, 0.0001, 1, 0.05, 71.98890995979309, 1.018405359963789
experiments\experiment03_settings, bicocca, False, 10, 0.0001, 2, 0.05, 90.48003220558167, 1.3301890414768336
experiments\experiment04_settings, bicocca, False, 10, 0.001, 0, 0.05, 71.95737266540527, 1.6327318960915254
experiments\experiment05_settings, bicocca, False, 10, 0.001, 1, 0.05, 81.89619302749634, 0.6539883242290595
experiments\experiment06_settings, bicocca, False, 10, 0.001, 2, 0.05, 104.44444012641907, 1.343618347435454
experiments\experiment07_settings, bicocca, False, 10, 0.01, 0, 0.05, 71.14784717559814, 2.097880968546314
experiments\experiment08_settings, bicocca, False, 10, 0.01, 1, 0.05, 82.6940929889679, 0.8197607243847032
experiments\experiment10_settings, bicocca, False, 100, 0.0001, 0, 0.05, 110.22406125068665, 1.5615858384799755
experiments\experiment11_settings, bicocca, False, 100, 0.0001, 1, 0.05, 227.7084355354309, 1.0763183376755932
experiments\experiment12_settings, bicocca, False, 100, 0.0001, 2, 0.05, 370.32587337493896, 1.325284078999586
experiments\experiment13_settings, bicocca, False, 100, 0.001, 0, 0.05, 90.43806219100952, 1.3365923307751593
experiments\experiment14_settings, bicocca, False, 100, 0.001, 1, 0.05, 169.63656997680664, 0.6487002367602959
experiments\experiment15_settings, bicocca, False, 100, 0.001, 2, 0.05, 327.3168203830719, 1.327256006988857
experiments\experiment16_settings, bicocca, False, 100, 0.01, 0, 0.05, 126.00062704086304, 3.113079570285064
experiments\experiment17_settings, bicocca, False, 100, 0.01, 1, 0.05, 170.06723856925964, 1.19341750516964
experiments\experiment18_settings, bicocca, False, 100, 0.01, 2, 0.05, 328.2725727558136, 1.3825623283303061
experiments\experiment19_settings, bicocca, True, 10, 0.0001, 0, 0.05, 94.75701570510864, 1.7313981069046658
experiments\experiment20_settings, bicocca, True, 10, 0.0001, 1, 0.05, 104.74022054672241, 1.4511588514719427
experiments\experiment21_settings, bicocca, True, 10, 0.0001, 2, 0.05, 128.47425937652588, 1.4636193754433442
experiments\experiment22_settings, bicocca, True, 10, 0.001, 0, 0.05, 92.42617893218994, 1.8135238378795975
experiments\experiment23_settings, bicocca, True, 10, 0.001, 1, 0.05, 107.05507779121399, 1.4398509794031134
experiments\experiment24_settings, bicocca, True, 10, 0.001, 2, 0.05, 132.16556906700134, 1.0366993025665439
experiments\experiment25_settings, bicocca, True, 10, 0.01, 0, 0.05, 93.11982250213623, 1.7838788651150879
experiments\experiment26_settings, bicocca, True, 10, 0.01, 1, 0.05, 110.8902862071991, 0.9390538163556925
experiments\experiment27_settings, bicocca, True, 10, 0.01, 2, 0.05, 133.00066304206848, 2.3475077869025434
experiments\experiment28_settings, bicocca, True, 100, 0.0001, 0, 0.05, 135.74403738975525, 1.6765294215305715
experiments\experiment29_settings, bicocca, True, 100, 0.0001, 1, 0.05, 255.44545078277588, 1.441420031795388
experiments\experiment30_settings, bicocca, True, 100, 0.0001, 2, 0.05, 382.7738537788391, 1.4546239083497423
experiments\experiment31_settings, bicocca, True, 100, 0.001, 0, 0.05, 143.68362998962402, 1.8436487659744025
experiments\experiment32_settings, bicocca, True, 100, 0.001, 1, 0.05, 262.90501952171326, 1.4483179696581732
experiments\experiment33_settings, bicocca, True, 100, 0.001, 2, 0.05, 535.7618074417114, 1.4328313862874786
experiments\experiment34_settings, bicocca, True, 100, 0.01, 0, 0.05, 136.20603251457214, 1.7364867989481072
experiments\experiment35_settings, bicocca, True, 100, 0.01, 1, 0.05, 273.992351770401, 1.4401111766794594
experiments\experiment36_settings, bicocca, True, 100, 0.01, 2, 0.05, 518.7532715797424, 1.4859219479808838
